真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
3487.497,3427.7872,3462.1786,3476.6740999999993,3486.5930999999996,3472.4181,3482.6771,3496.0998999999997,3493.7995,62414.0098998874,7.088855933447193
3370.652,3533.7337999999995,3536.0513,3522.4083999999993,3516.7702000000004,3529.3844000000004,3522.6911,3515.7667,3515.1318999999994,88930.89745624998,8.997138437586202
3309.259,3383.8779000000004,3370.2882,3378.5244000000007,3387.2875999999997,3387.5371,3391.0251000000003,3383.1935,3394.5579999999995,29452.15528325503,4.99804053658404
3262.05,3304.7120999999997,3303.455299999999,3273.5724000000005,3251.7684,3254.6357999999996,3256.2082,3239.4996,3251.0422000000003,7817.527809537458,2.339450673809892
3129.85,3240.5420000000004,3184.2545999999993,3199.9518,3178.4124,3126.0191,3134.0117,3157.1862,3135.5187,14048.304478698738,3.077229040044116
3154.125,3163.6344,3091.0017,3142.3497,3104.8552999999997,3071.9043,3024.4082,3007.5345,2995.9522,41197.27416640622,5.316019877503818
3184.958,3127.6274000000003,3115.0133,3072.7581,3067.7449,3043.8851000000004,2993.1673,2994.3161000000005,2979.5371999999998,53183.12711070241,6.4910556381857765
3199.158,3183.713,3260.5070000000005,3273.1163000000006,3241.531,3263.3033,3271.313,3249.5532,3247.1493,1239.6273382887434,0.7577423853151583
3268.558,3028.4272000000005,2925.5958,2934.5421,2876.1664000000005,2863.1861999999996,2834.011,2835.3033000000005,2829.3453,153463.2254557336,11.81155017841298
3289.024,3213.0135999999993,3237.3359,3260.5855999999994,3246.888,3221.7416000000003,3259.5434999999998,3226.5799999999995,3261.8183,2482.3149769787606,1.2427564916559857
3329.573,3260.3731999999995,3234.6784,3244.8098,3230.8365,3253.2631,3222.935,3237.7897999999996,3228.4696,1981.0899670625176,1.1949383511503937
3292.067,3373.174,3440.0430000000006,3429.2920999999997,3461.6252,3463.7937999999995,3475.1873,3494.8857000000003,3486.3297,34063.84300716999,5.494206197410025
3259.408,3230.3921,3263.9736999999996,3241.3076,3207.1767999999997,3261.6632999999993,3255.5858,3236.4133,3221.776,1827.8932052150114,1.0784641314561487
3273.754,3231.7410000000004,3251.5199999999995,3223.5838,3200.9478000000004,3200.6148999999996,3164.6215,3153.4782,3157.2204999999994,10433.227326053773,2.5966516353813773
3254.528,3243.0600000000004,3230.5455999999995,3205.321999999999,3121.4314999999997,3134.7894,3074.1360999999993,3065.8849999999998,3047.9554,30653.058234842596,4.4748221490341376
3256.926,3223.5400000000004,3266.7812,3234.1337999999996,3240.3637000000003,3245.7792,3228.9679000000006,3251.9920999999995,3258.9836999999998,2889.4665487899942,1.483245084663035
3289.641,3203.545800000001,3226.2614000000003,3278.1049,3283.7644,3260.7449,3265.4349,3274.0603,3274.2181000000005,2133.8118136362245,1.1751792844826476
3271.668,3292.6286,3244.0589999999997,3238.5226000000002,3262.3602,3265.1195000000002,3261.6404,3262.6740999999993,3274.6722999999997,1876.1272740837474,1.1594968244923105
3288.405,3213.4313999999995,3223.089,3246.9381000000003,3246.9769999999994,3240.1516,3229.8462999999997,3244.2282999999998,3243.2387,3923.313157325023,1.8039499090875921
3307.165,3290.4057999999995,3295.571,3293.0396,3280.7002999999995,3281.2761999999993,3270.5143,3257.9406,3256.7220000000007,420.1655357225018,0.5356596792952193
3326.699,3305.062499999999,3291.8139999999994,3283.1288999999997,3275.289599999999,3276.8068999999996,3251.0159,3228.5847000000003,3256.9904,799.51211743626,0.703419269329417
3310.238,3330.9139999999998,3306.5119999999997,3303.2806000000005,3292.9595999999997,3278.6738000000005,3253.4508,3250.415299999999,3265.4885000000004,457.11426036750663,0.5374776646784275
3291.381,3337.8509999999997,3341.04,3344.6140000000005,3343.5163999999995,3346.7300999999998,3362.6705,3373.7045,3374.1407,10668.769877419965,2.7210911332287138
3291.112,3285.91,3270.5083999999997,3243.6032000000005,3240.6409,3245.0797999999995,3228.1350999999995,3231.8092,3229.3127999999997,2715.084220767503,1.31472636630837
3269.882,3285.7128,3272.8734,3261.3992,3235.3808000000004,3236.1683999999996,3225.2511,3230.817,3230.0875,2834.5093292374972,1.399265826328772
3279.251,3280.510000000001,3246.906,3230.1745,3231.9094000000005,3237.2298,3237.9437,3228.3715,3226.4165999999996,4767.385437743726,1.896458824603699
3290.639,3245.9984000000004,3236.915,3239.4577999999997,3232.2656,3239.7027000000003,3238.0904,3240.2282999999998,3241.1616999999997,5947.191730448732,2.240409108828277
3280.952,3275.8779,3271.577,3275.5348000000004,3247.2991,3229.884,3226.2877,3233.4737,3235.8050000000003,6584.632895354997,2.208565138542616
3263.48,3268.11,3289.471,3291.524999999999,3271.7245999999996,3251.7812,3242.8092000000006,3241.5241999999994,3223.4741999999997,10887.87398703992,2.972594881420681
3152.76,3243.535,3223.8300000000004,3245.3070000000002,3222.8361999999997,3241.8370000000004,3222.127,3233.8615999999997,3231.599599999999,7014.470360394968,2.621693593545359
3133.721,3154.9379,3123.7824,3163.6416,3126.7373,3145.8435999999997,3149.4572,3142.9955,3139.5668000000005,746.4104387387563,0.7573138111360687
3166.648,3143.5744000000004,3135.0415000000003,3130.7131999999997,3128.9867,3143.4715,3152.3482,3145.1540999999997,3139.3612,501.3142297600047,0.6183108044866514
3122.289,3139.165,3135.4918000000007,3141.7997,3135.3865999999994,3130.4222,3128.1351000000004,3126.2978,3116.186,1013.2063590224977,0.7581785673794762
3160.53,3165.412,3170.5279999999993,3177.6140000000005,3175.8107000000005,3171.934,3177.5686,3176.8412,3174.6357000000003,784.8927418475088,0.7414608188645362
