date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30)
2015-03-19,sz.399808,1794.626,1811.731,1782.457,1808.496,1792.878,2997607556.0,45934000607.0,3,0.042541,1,0.871109,,61.26238839504913,50.424688499642826,2.398019317583671,1.769335528366742,98.23066447163325,95.09060669763532,90.69933994410106,103.87314020470384,100.0,85.25099903052661,80.0,80.0,25693520124.0,
2015-03-20,sz.399808,1811.157,1822.214,1801.783,1819.841,1808.496,2787522214.0,44508186645.0,3,0.039554,1,0.627342,,64.92767093616544,53.32528498694735,1.8978534182155944,1.227498448168864,98.50185610747744,96.22942361335387,92.54551185100236,103.59724713805691,100.0,83.30023872738226,90.0,80.0,28481042338.0,
2015-03-23,sz.399808,1826.896,1857.378,1826.896,1857.234,1819.841,2706454863.0,45338835355.0,3,0.038404,1,2.054723,,70.04233194773906,56.668694379105695,0.1163739807174823,0.0743955362678267,99.922815932078,97.46180520332774,94.18594127075316,104.01353306847692,100.0,87.06834581294953,90.0,80.0,31187497201.0,
2015-03-24,sz.399808,1861.523,1871.022,1806.429,1862.885,1857.234,3392965204.0,55540472925.0,3,0.048135,1,0.30427,,73.70213380070709,60.07538226342598,7.315077852493754,4.064212256069818,95.9357877439302,96.952788295924,95.1088480876697,100.64066871243264,100.0,86.5337304156416,90.0,80.0,34580462405.0,
2015-03-25,sz.399808,1859.576,1893.656,1847.678,1882.521,1862.885,2878008103.0,47912644465.0,3,0.040829,1,1.05407,,77.29599412652874,63.51950463604653,10.01357925880629,4.99674661760416,94.86459313372812,96.2564091100898,95.4915410585928,97.78614521308376,100.0,87.43975573948062,90.0,85.0,37458470508.0,
2015-03-26,sz.399808,1874.869,1899.38,1849.622,1874.567,1882.521,2874535441.0,48945525477.0,3,0.04078,1,-0.42255,,78.59632350856532,66.53486841055029,25.42393721118482,11.14930443222262,87.72860802563768,93.412953640053,94.79847015946356,90.64192060123187,90.29751521731178,94.41150462312092,90.0,80.0,34583935067.0,
2015-03-27,sz.399808,1866.373,1902.159,1857.124,1901.557,1874.567,2311509777.0,40339084829.0,3,0.032793,1,1.439845,,80.87246392459338,69.40238751335892,0.6288519795258425,0.2936857562408658,99.64277237123184,95.4899762972727,95.02901842704765,96.41189203772282,91.85241334098178,94.80118730358504,90.0,80.0,36895444844.0,
2015-03-30,sz.399808,1914.675,1943.596,1914.675,1935.455,1901.557,3167418880.0,53803412411.0,3,0.044935,1,1.782648,,84.43825525994748,72.40956106267663,5.935101008260063,3.8774606228894832,95.57097002339368,95.51697781492646,95.19169329900556,96.16754684676826,91.54989429400084,95.0725606228824,90.0,80.0,40062863724.0,16547393750.033333
2015-03-31,sz.399808,1941.639,1954.288,1920.207,1933.322,1935.455,2811798629.0,48502571542.0,3,0.039821,1,-0.110247,,86.09955325476972,75.14755950109526,19.66607260106945,10.779323605926995,87.79847640996087,92.9439147410313,94.44236701112072,89.94701020085245,88.86779750802883,94.28329214841004,80.0,80.0,37251065095.0,17789095919.866665
2015-04-01,sz.399808,1938.202,2018.987,1938.202,2014.801,1933.322,2978652810.0,55991489791.0,3,0.04218,1,4.214457,,92.91969780051612,78.70198716097944,2.4715850382311277,1.769754365196867,98.072779506823,94.6536378926413,94.51279482193102,94.93532403406184,93.38357799729756,97.14187757137516,80.0,80.0,40229717905.0,19095753859.33333
2015-04-02,sz.399808,2032.135,2058.058,2018.931,2058.058,2014.801,3607875999.0,69438232098.0,3,0.05109,1,2.146984,,100.65490281156532,83.09257029109662,0.0,0.0,100.0,96.43582917366152,95.15383165893076,98.999824203123,98.86395713608545,97.40585386678735,80.0,80.0,43837593904.0,20486102067.766663
2015-04-03,sz.399808,2045.059,2085.434,2033.35,2082.114,2058.058,3276188435.0,62017750026.0,3,0.046339,1,1.168876,,107.48718134943488,87.97149250276428,1.9442606246231,1.1899428325657828,98.8100571674342,97.22725939979986,95.84499248684686,99.99179322570583,98.8459228559216,97.26527657659368,80.0,85.0,47113782339.0,21934149178.033333
2015-04-07,sz.399808,2089.619,2104.238,2083.646,2101.386,2082.114,3148652467.0,59324860516.0,3,0.044535,1,0.925608,,113.1525485076013,93.00770370373168,1.549738902684801,0.9576607825820792,98.88836919239168,97.78097240986985,96.49033048641368,100.36225625678212,98.74674641738687,97.22062255629984,80.0,85.0,50262434806.0,23425638239.366665
2015-04-08,sz.399808,2114.732,2121.675,2049.419,2085.261,2101.386,3532414527.0,64676562906.0,3,0.049963,1,-0.767351,,115.01541396191853,97.40924575536906,19.847061965520908,13.289926532042395,86.61510808555678,94.05897396130352,95.67986880144883,90.81718428101284,91.24540553453248,92.39806616455004,70.0,80.0,46730020279.0,24745832646.3
2015-04-09,sz.399808,2090.811,2090.864,1985.882,2047.805,2085.261,3078465591.0,56836362355.0,3,0.043542,1,-1.796252,,112.17626394507964,100.3626493933112,54.39897491034152,27.15279743285319,72.07721762533498,86.73166453039127,92.69711071137922,74.80077216841534,61.77318322560398,82.63497388482048,60.0,75.0,43651554688.0,26013376741.8
2015-04-10,sz.399808,2041.667,2098.817,2034.196,2092.884,2047.805,2427930597.0,46868422006.0,3,0.034341,1,2.20135,,112.269542262997,102.74402796724836,21.20212382081561,10.882967745349724,86.09130434782601,86.5182100230173,90.6374664073511,78.27969725434968,62.26371242640226,84.09806708144036,70.0,80.0,46079485285.0,27307909715.3
2015-04-13,sz.399808,2107.62,2137.336,2093.704,2133.491,2092.884,2445333815.0,49924294011.0,3,0.034546,1,1.940215,,114.30250342645944,105.05572305909058,2.538724629260242,1.7268403537214885,98.22916330844808,90.42187469014908,90.56560225176484,90.13441956691751,66.20326859637062,84.22470161771886,70.0,80.0,48524819100.0,28622493426.033333
2015-04-14,sz.399808,2148.717,2170.637,2129.695,2145.333,2133.491,3472061276.0,64381369116.0,3,0.048925,1,0.555089,,115.5373476037994,107.15204796803236,13.69597575167117,10.10422074032667,89.11351560651363,89.98575398475462,90.37231904809909,89.21262385806571,64.54148991787389,84.46303418386275,70.0,80.0,51996880376.0,29978062604.866665
2015-04-15,sz.399808,2148.046,2148.046,2061.929,2071.445,2145.333,3190904381.0,59135372716.0,3,0.044963,1,-3.444135,,109.29395375295417,107.58042912501672,53.68839814889986,42.67515649536427,46.311601851100136,75.42768077820742,85.39076526057177,55.50151181347872,46.69271132559658,70.35661026299687,70.0,75.0,48805975995.0,31312548079.1
2015-04-16,sz.399808,2064.537,2144.35,2048.054,2130.557,2071.445,2966901337.0,56675998063.0,3,0.041805,1,2.853639,,107.8723779011184,107.63881888023708,29.37533439362091,21.693594219371796,78.30640578062821,76.3872567675141,82.38959267125125,64.38258496003982,67.94836202109937,74.84403933275621,70.0,75.0,51772877332.0,32682447462.466667
