date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30)
2014-01-14,sz.399967,5716.082,5853.298,5695.745,5853.298,5717.424,362092376.0,5301935368.0,3,0.009352,1,2.376482,0.0,-28.780045881890143,1.7951128801122227,57.037069579904205,65.40763828022753,34.59236171977247,22.105696615871448,23.73991659020553,18.83725666720328,42.320937689603866,,40.0,,161684554.0,
2014-01-15,sz.399967,5845.623,5986.317,5832.294,5949.597,5853.298,492930576.0,7373951629.0,3,0.012731,1,1.645215,0.0,-24.22979410627613,-3.4098685171654486,33.21799392812834,46.48310530639201,53.51689469360799,33.583773507435325,27.33699513289251,46.07733025652095,40.55381078975592,50.30282922309827,50.0,,654615130.0,
2014-01-16,sz.399967,5941.851,5967.695,5892.615,5921.796,5949.597,409382871.0,6244916083.0,3,0.010573,1,-0.467272,0.0,-22.60640261135086,-7.249175336002531,20.87754210551852,51.94651553085532,56.712921623245215,41.77277252464048,32.44805959067992,60.4221983925616,50.69921518445573,49.2318202043425,40.0,,245232259.0,
2014-01-17,sz.399967,5899.872,5909.824,5824.655,5829.943,5921.796,424841405.0,5730773696.0,3,0.010972,1,-1.551109,0.0,-28.404196709499047,-11.480179610701834,50.599103690401,64.59072133147473,37.26264046315012,40.20835399672939,35.13985401828185,50.34535395362448,56.92719239313263,38.38519072428368,40.0,,-179609146.0,
2014-01-20,sz.399967,5831.184,5873.418,5754.974,5810.364,5829.943,343932496.0,4806483115.0,3,0.008881,1,-0.335837,0.0,-34.18479098343869,-16.021101885249205,60.55401070991023,67.51603549775953,32.48396450224046,37.56479239465638,35.9697544244888,40.75486833499154,62.5119141855543,37.14123591163987,40.0,,-523541642.0,
2014-01-21,sz.399967,5816.199,5874.663,5809.572,5872.306,5810.364,334490104.0,4864814978.0,3,0.008638,1,1.066067,0.0,-33.38293417830937,-19.49346834386124,49.28223460402973,52.39775844731485,47.82800614053577,41.04623722292254,37.69177787854432,47.755155911679,53.19490106698397,41.14109714238647,40.0,,-189051538.0,
2014-01-22,sz.399967,5878.297,6041.003,5876.749,6034.411,5872.306,626344386.0,8230379590.0,3,0.016174,1,2.760491,0.0,-19.442813499894328,-19.48333737506786,2.30466141545076,12.419135714671077,98.18767165845098,60.31616201965763,45.32144600428233,90.30559405040825,61.67336489759967,44.66338503968257,40.0,,437292848.0,
2014-01-23,sz.399967,6016.045,6125.705,6011.033,6087.36,6034.411,534681576.0,7718488320.0,3,0.013807,1,0.877455,0.0,-4.075644153558642,-16.401798730766014,10.343078944032271,8.550887200540606,91.4491127994594,70.7744176811118,53.87166943227598,104.57991417878344,71.31205783311181,48.28557733985628,50.0,50.0,971974424.0,
2014-01-24,sz.399967,6066.26,6179.234,6060.5,6162.263,6087.36,525862628.0,7641209754.0,3,0.013579,1,1.230465,0.0,13.985775068254952,-10.324283970961822,4.000141422712594,3.380933218052451,96.48988911847005,79.39051298228244,62.42188359179936,113.3277717632486,94.7294321601816,60.27655968629843,60.0,55.00000000000001,1497837052.0,
2014-01-27,sz.399967,6153.45,6220.683,6134.782,6139.219,6162.263,495443643.0,7277304469.0,3,0.012794,1,-0.373953,0.0,26.13880978542238,-3.0316652196849816,19.81557292312781,15.518785075570817,82.50753152719831,80.43309050006215,68.44625563836988,104.4067602234467,93.85399914120283,58.13401015059297,60.0,50.0,1002393409.0,
2014-01-28,sz.399967,6129.969,6170.296,6029.791,6094.495,6139.219,376430250.0,5734132461.0,3,0.009688,1,-0.728491,0.0,31.794813512144174,3.9336305266808496,36.68959742276135,27.0958903521298,72.90410964787021,77.91768589148525,71.61062539520955,90.53180688403664,81.0558389824586,51.62355511637733,50.0,45.0,625963159.0,
2014-01-29,sz.399967,6098.747,6233.884,6098.747,6221.34,6094.495,463238713.0,7496054524.0,3,0.011923,1,2.081308,0.0,45.982510864851065,12.343406594314892,5.628873103553445,2.619281284583716,97.38071871541628,84.4152556520336,75.88534347765783,101.47508000078514,78.98438590234599,63.70874802623208,50.0,50.0,1089201872.0,
2014-01-30,sz.399967,6209.199,6367.18,6191.175,6307.246,6221.34,518797901.0,8357599319.0,3,0.013352,1,1.380824,0.0,63.42711123104709,22.56014752166133,17.76406462569917,9.789841981293907,90.2101580187061,86.34885229601267,79.3767233586676,100.29311017070282,80.9330879911767,75.18340049762273,60.0,50.0,1607999773.0,
2014-02-07,sz.399967,6275.87,6564.312,6261.343,6558.374,6307.246,730500239.0,11367924662.0,3,0.018801,1,3.98157,0.0,96.40471993697156,37.32906200472338,1.1109011619749467,0.7336860495862179,99.2132389962106,90.639884678018,83.13365255175061,105.6523489305528,87.25319619973402,83.50526554003658,70.0,55.00000000000001,2338500012.0,
2014-02-10,sz.399967,6591.838,6748.468,6591.838,6726.913,6558.374,957930190.0,14766893389.0,3,0.024655,1,2.569838,0.0,134.58795502068006,56.78084060791472,2.999261142349108,2.295781428401048,97.52729950821303,92.93672571030456,86.40281830235429,106.00454052620506,93.39518151288796,83.9237133402246,80.0,60.0,3296430202.0,
2014-02-11,sz.399967,6738.996,6750.417,6572.255,6664.911,6726.913,835336932.0,13438813471.0,3,0.021499,1,-0.9217,0.0,158.0238006843183,77.02943262319543,13.121058204305909,9.787012915661355,88.43550847732703,91.43586861523596,88.08100641924484,98.14559300721814,91.07139771319956,78.5367663485782,70.0,55.00000000000001,2461093270.0,
2014-02-12,sz.399967,6658.868,6689.408,6579.206,6679.671,6664.911,623353985.0,9916918435.0,3,0.016043,1,0.221455,0.0,175.7618130910514,96.77590871676664,12.650337421009164,9.568235179554886,90.18270226164474,91.0180627332369,89.06022150927001,94.9337451811707,89.35286390136268,80.5526014711206,70.0,55.00000000000001,3084447255.0,
2014-02-13,sz.399967,6660.867,6662.934,6469.708,6471.531,6679.671,693673991.0,10343941631.0,3,0.017853,1,-3.116016,0.0,171.05237194998972,111.63120136341126,57.023272551802,38.70051871567225,61.29948128432775,81.1105447059923,86.40997501703264,70.5116840839116,61.65854586278987,73.6475040654122,60.0,55.00000000000001,2390773264.0,894301941.2666667
