真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
[3122.289 3160.53  3168.896 3163.179 3136.633 3131.111 3138.293 3190.321],3162.8494,3150.2896,3138.74,3144.2183,3123.4324,3119.5496,3131.2776,3123.78,975.4684,0.007841839
[3160.53  3168.896 3163.179 3136.633 3131.111 3138.293 3190.321 3208.081],3103.6218,3108.9326,3109.8716,3100.151,3102.7964,3110.3638,3112.5942,3101.94,3736.9912,0.017600402
[3168.896 3163.179 3136.633 3131.111 3138.293 3190.321 3208.081 3180.158],3155.4314,3153.7405,3131.5913,3129.4165,3139.6511,3131.0454,3123.551,3115.2266,1896.941,0.009395098
[3163.179 3136.633 3131.111 3138.293 3190.321 3208.081 3180.158 3159.052],3161.3767,3148.4111,3142.8438,3150.3877,3142.765,3134.327,3127.0596,3126.6492,1499.5692,0.009597028
[3136.633 3131.111 3138.293 3190.321 3208.081 3180.158 3159.052 3110.648],3158.5999,3164.1025,3174.8188,3175.9172,3180.364,3173.0017,3170.017,3167.9695,917.2529,0.008310269
[3131.111 3138.293 3190.321 3208.081 3180.158 3159.052 3110.648 3066.796],3150.9402,3170.499,3188.304,3198.282,3210.9487,3207.7913,3206.3594,3202.2332,4044.7532,0.015040498
[3138.293 3190.321 3208.081 3180.158 3159.052 3110.648 3066.796 3091.398],3144.7898,3151.2476,3159.4897,3177.1316,3172.366,3169.3442,3167.2874,3170.7693,2995.0098,0.013992794
[3190.321 3208.081 3180.158 3159.052 3110.648 3066.796 3091.398 3117.376],3135.974,3138.4968,3149.6714,3152.459,3153.1704,3146.561,3152.7524,3159.2922,2807.5544,0.015421357
[3208.081 3180.158 3159.052 3110.648 3066.796 3091.398 3117.376 3071.542],3179.8252,3190.151,3200.456,3195.392,3194.0898,3196.5652,3202.3987,3193.7712,7403.3574,0.02436176
[3180.158 3159.052 3110.648 3066.796 3091.398 3117.376 3071.542 3068.012],3207.3508,3209.8105,3228.9363,3223.636,3225.7388,3234.1243,3233.327,3236.7065,16027.082,0.037793882
[3159.052 3110.648 3066.796 3091.398 3117.376 3071.542 3068.012 3128.927],3187.5625,3178.502,3169.666,3157.848,3153.598,3140.9565,3139.26,3140.9548,3970.779,0.018395294
[3110.648 3066.796 3091.398 3117.376 3071.542 3068.012 3128.927 3117.973],3155.9385,3142.2578,3129.1023,3133.7314,3108.5042,3108.948,3111.76,3109.0999,1606.281,0.011289744
[3066.796 3091.398 3117.376 3071.542 3068.012 3128.927 3117.973 3075.03 ],3113.842,3120.731,3125.4329,3121.781,3130.9143,3138.9548,3143.9207,3156.276,2124.2593,0.012777567
[3091.398 3117.376 3071.542 3068.012 3128.927 3117.973 3075.03  3082.231],3072.7942,3064.7668,3046.6987,3039.896,3039.349,3031.687,3032.921,3041.0835,2932.1575,0.015436611
[3117.376 3071.542 3068.012 3128.927 3117.973 3075.03  3082.231 3081.177],3079.672,3054.074,3036.6313,3035.3582,3023.7317,3018.2092,3013.5898,3019.456,4012.209,0.018614925
[3071.542 3068.012 3128.927 3117.973 3075.03  3082.231 3081.177 3100.858],3133.151,3137.1921,3146.645,3173.9792,3183.4023,3190.9941,3199.6836,3195.4878,7325.601,0.025717568
[3068.012 3128.927 3117.973 3075.03  3082.231 3081.177 3100.858 3091.033],3057.1333,3048.4097,3042.206,3034.9927,3027.9604,3031.0242,3020.6304,3011.9988,4011.0554,0.018990684
[3128.927 3117.973 3075.03  3082.231 3081.177 3100.858 3091.033 3136.644],3060.2986,3058.3848,3042.8748,3043.3484,3044.654,3033.0215,3025.5178,3023.3271,4234.385,0.019396117
[3117.973 3075.03  3082.231 3081.177 3100.858 3091.033 3136.644 3161.497],3127.8027,3117.7925,3110.804,3104.7634,3089.3052,3077.2422,3074.9172,3077.0234,1820.9541,0.011071273
[3075.03  3082.231 3081.177 3100.858 3091.033 3136.644 3161.497 3159.15 ],3101.2568,3086.5186,3086.2053,3066.2322,3040.5747,3037.3384,3029.4338,3011.199,6708.534,0.01991341
[3082.231 3081.177 3100.858 3091.033 3136.644 3161.497 3159.15  3174.412],3067.911,3053.1072,3027.0762,3007.9785,2995.6814,2980.7617,2966.481,2952.224,19044.916,0.037188604
[3081.177 3100.858 3091.033 3136.644 3161.497 3159.15  3174.412 3163.263],3070.5671,3043.9734,3019.7178,3007.6914,2988.3403,2966.9749,2955.3442,2961.519,22583.613,0.041795116
[3100.858 3091.033 3136.644 3161.497 3159.15  3174.412 3163.263 3174.032],3050.3337,3024.3108,3010.6536,2992.2961,2970.5176,2959.5156,2956.2244,2963.1567,27575.387,0.048857592
[3091.033 3136.644 3161.497 3159.15  3174.412 3163.263 3174.032 3192.118],3089.538,3096.8745,3100.9321,3083.4338,3078.6196,3094.0437,3093.4072,3085.612,5349.5293,0.020889025
[3136.644 3161.497 3159.15  3174.412 3163.263 3174.032 3192.118 3169.565],3077.479,3061.9792,3044.8809,3021.5269,3015.519,3017.2112,3009.0962,3007.4932,19502.605,0.042407006
[3161.497 3159.15  3174.412 3163.263 3174.032 3192.118 3169.565 3154.282],3137.7585,3133.7632,3132.8745,3141.72,3146.9011,3141.6213,3150.6528,3149.9941,882.4396,0.008391641
[3159.15  3174.412 3163.263 3174.032 3192.118 3169.565 3154.282 3193.303],3164.0132,3170.4001,3171.6208,3178.6523,3181.5017,3176.9102,3184.5447,3186.2783,157.8478,0.003042285
[3174.412 3163.263 3174.032 3192.118 3169.565 3154.282 3193.303 3213.84 ],3161.9268,3169.3228,3172.7366,3178.43,3182.274,3182.2207,3180.5095,3187.777,270.83585,0.004441004
[3163.263 3174.032 3192.118 3169.565 3154.282 3193.303 3213.84  3214.349],3168.2998,3173.422,3177.1123,3179.181,3184.319,3184.4172,3188.0876,3192.6536,307.30588,0.00457337
[3174.032 3192.118 3169.565 3154.282 3193.303 3213.84  3214.349 3168.964],3165.211,3159.1628,3162.954,3167.3923,3160.3708,3167.0967,3172.4905,3171.8252,801.1545,0.007265959
[3192.118 3169.565 3154.282 3193.303 3213.84  3214.349 3168.964 3154.65 ],3175.0713,3179.6277,3193.5276,3196.0034,3203.52,3214.5647,3220.2603,3221.9568,1150.9271,0.007825463
[3169.565 3154.282 3193.303 3213.84  3214.349 3168.964 3154.65  3141.303],3185.5854,3185.536,3184.4941,3186.1008,3193.8489,3192.2156,3199.374,3204.8672,1135.259,0.009309972
[3154.282 3193.303 3213.84  3214.349 3168.964 3154.65  3141.303 3135.082],3170.7385,3176.2842,3191.1414,3203.0732,3207.8076,3220.416,3229.2844,3237.0996,3148.1445,0.014346369
[3193.303 3213.84  3214.349 3168.964 3154.65  3141.303 3135.082 3120.46 ],3135.1943,3128.763,3126.3281,3121.657,3119.1555,3117.491,3118.332,3114.0132,2843.6726,0.014152708
[3213.84  3214.349 3168.964 3154.65  3141.303 3135.082 3120.46  3041.443],3201.1492,3210.613,3219.4514,3234.404,3244.1414,3251.3398,3256.7903,3253.5789,12095.481,0.028697789
[3214.349 3168.964 3154.65  3141.303 3135.082 3120.46  3041.443 3095.473],3213.5208,3216.3064,3223.652,3230.0708,3235.9993,3234.5862,3231.0625,3234.464,11670.7705,0.030167293
[3168.964 3154.65  3141.303 3135.082 3120.46  3041.443 3095.473 3075.137],3209.3994,3213.9602,3218.0547,3219.028,3216.8042,3210.634,3209.6865,3205.5928,10757.717,0.031074174
[3154.65  3141.303 3135.082 3120.46  3041.443 3095.473 3075.137 3091.19 ],3159.2644,3150.1458,3143.9905,3125.9226,3113.6643,3104.1035,3097.9238,3092.9358,752.6708,0.005422318
[3141.303 3135.082 3120.46  3041.443 3095.473 3075.137 3091.19  3114.205],3126.8103,3108.5737,3090.7517,3070.5984,3064.5818,3045.7612,3042.198,3041.7544,1513.9806,0.011352628
[3135.082 3120.46  3041.443 3095.473 3075.137 3091.19  3114.205 3115.18 ],3126.7312,3114.6018,3096.9077,3094.0405,3091.7485,3080.8223,3082.4014,3078.8345,737.2912,0.006734442
[3120.46  3041.443 3095.473 3075.137 3091.19  3114.205 3115.18  3109.498],3120.6157,3109.8264,3101.1836,3099.4675,3099.7107,3095.2278,3095.6926,3097.3762,782.5404,0.00641185
[3041.443 3095.473 3075.137 3091.19  3114.205 3115.18  3109.498 3067.147],3111.0278,3105.161,3099.9104,3092.4502,3092.0044,3092.5718,3088.136,3094.1042,967.27905,0.008064694
[3095.473 3075.137 3091.19  3114.205 3115.18  3109.498 3067.147 3052.783],3065.38,3053.85,3046.8025,3035.2314,3023.7239,3026.3237,3019.994,3024.9717,3480.6072,0.017119097
[3075.137 3091.19  3114.205 3115.18  3109.498 3067.147 3052.783 3079.801],3072.855,3057.8083,3041.316,3039.4153,3024.4753,3016.3403,3014.706,3014.0078,3470.1777,0.017126359
[3091.19  3114.205 3115.18  3109.498 3067.147 3052.783 3079.801 3049.796],3050.3496,3035.3208,3033.3042,3016.1897,3005.3005,3000.5645,2993.2712,2987.1895,5157.4336,0.022590753
[3114.205 3115.18  3109.498 3067.147 3052.783 3079.801 3049.796 3044.159],3082.4036,3074.6882,3060.1196,3052.616,3049.082,3043.52,3035.1982,3027.733,889.1508,0.008375302
[3115.18  3109.498 3067.147 3052.783 3079.801 3049.796 3044.159 3021.9  ],3093.9243,3072.0242,3058.895,3047.1538,3030.927,3017.5872,3008.9644,2997.519,901.87915,0.008683575
[3109.498 3067.147 3052.783 3079.801 3049.796 3044.159 3021.9   2907.822],3103.7778,3091.2285,3086.38,3076.0105,3059.4543,3050.216,3038.4062,3031.7632,2189.9512,0.009396179
[3067.147 3052.783 3079.801 3049.796 3044.159 3021.9   2907.822 2915.731],3100.4585,3103.1396,3095.435,3085.8386,3082.3198,3072.419,3055.8782,3054.8567,6309.2466,0.021516997
[3052.783 3079.801 3049.796 3044.159 3021.9   2907.822 2915.731 2875.809],3058.0923,3042.6975,3026.2305,3010.5015,2999.304,2990.758,2988.4883,2986.6653,3508.088,0.01650877
[3079.801 3049.796 3044.159 3021.9   2907.822 2915.731 2875.809 2889.76 ],3036.3777,3016.3923,2998.9685,2988.6165,2976.6953,2975.3728,2975.459,2986.2107,4210.6084,0.02038496
[3049.796 3044.159 3021.9   2907.822 2915.731 2875.809 2889.76  2859.336],3073.0576,3080.2402,3095.1072,3100.6965,3110.056,3117.9111,3132.6824,3133.9287,34398.863,0.0551206
[3044.159 3021.9   2907.822 2915.731 2875.809 2889.76  2859.336 2844.508],3040.3218,3043.2668,3041.5823,3036.3694,3033.6833,3043.0476,3048.0957,3042.5525,19523.74,0.042410936
[3021.9   2907.822 2915.731 2875.809 2889.76  2859.336 2844.508 2813.177],3048.2139,3050.6155,3058.279,3061.14,3070.7231,3078.2761,3078.4058,3079.429,35253.82,0.06090167
[2907.822 2915.731 2875.809 2889.76  2859.336 2844.508 2813.177 2786.896],3017.829,3006.2983,2993.3994,2994.685,2989.901,2985.3572,2982.391,2981.7112,18576.602,0.04641565
[2915.731 2875.809 2889.76  2859.336 2844.508 2813.177 2786.896 2847.418],2914.9731,2918.8914,2918.1838,2910.1309,2903.5767,2909.5793,2907.156,2911.867,4580.4185,0.020457698
[2875.809 2889.76  2859.336 2844.508 2813.177 2786.896 2847.418 2775.557],2923.3193,2913.2744,2891.8992,2886.5193,2872.1875,2863.8716,2865.645,2866.676,2959.7327,0.017330354
[2889.76  2859.336 2844.508 2813.177 2786.896 2847.418 2775.557 2786.887],2873.0793,2872.799,2875.8965,2878.436,2867.0134,2871.2952,2874.0823,2870.7095,3678.2332,0.018427707
[2859.336 2844.508 2813.177 2786.896 2847.418 2775.557 2786.887 2759.126],2880.414,2883.4407,2881.8708,2880.6272,2883.7656,2886.655,2892.9563,2883.9866,6996.155,0.026902042
[2844.508 2813.177 2786.896 2847.418 2775.557 2786.887 2759.126 2733.881],2854.4456,2861.836,2857.6313,2858.7954,2870.4573,2870.229,2868.033,2857.3933,6333.42,0.024864238
[2813.177 2786.896 2847.418 2775.557 2786.887 2759.126 2733.881 2747.228],2840.6382,2838.3862,2832.4622,2838.9111,2846.2908,2835.2612,2832.4194,2829.8406,4187.853,0.021417465
[2786.896 2847.418 2775.557 2786.887 2759.126 2733.881 2747.228 2815.109],2814.6843,2823.7107,2832.2878,2839.38,2848.1226,2843.5308,2840.2546,2843.5034,4588.9717,0.021735454
[2847.418 2775.557 2786.887 2759.126 2733.881 2747.228 2815.109 2827.625],2792.1357,2794.6086,2798.6968,2805.609,2803.094,2794.9487,2796.6895,2788.0754,1836.2949,0.013822589
[2775.557 2786.887 2759.126 2733.881 2747.228 2815.109 2827.625 2777.771],2837.9258,2824.7227,2812.3025,2800.7593,2786.6277,2776.6187,2766.3604,2761.9282,2457.504,0.016895873
[2786.887 2759.126 2733.881 2747.228 2815.109 2827.625 2777.771 2837.658],2773.8713,2763.9404,2759.8323,2745.5417,2741.2395,2728.574,2722.2207,2717.0989,4219.626,0.017534392
[2759.126 2733.881 2747.228 2815.109 2827.625 2777.771 2837.658 2831.183],2782.3071,2771.8042,2748.9878,2745.055,2736.56,2723.8901,2718.746,2718.0796,5626.823,0.022656929
[2733.881 2747.228 2815.109 2827.625 2777.771 2837.658 2831.183 2814.041],2739.8118,2706.393,2692.1853,2670.7925,2651.0183,2646.2764,2638.4746,2642.5378,20081.547,0.044781245
[2747.228 2815.109 2827.625 2777.771 2837.658 2831.183 2814.041 2798.125],2719.6946,2694.036,2675.4026,2652.9438,2635.7363,2634.6926,2632.5317,2627.6228,24445.965,0.052224785
[2815.109 2827.625 2777.771 2837.658 2831.183 2814.041 2798.125 2787.257],2737.3345,2722.6582,2708.7805,2699.574,2689.1707,2696.0613,2690.009,2693.3645,11935.674,0.037832234
[2827.625 2777.771 2837.658 2831.183 2814.041 2798.125 2787.257 2772.545],2792.1003,2773.7336,2758.7139,2743.8682,2723.8828,2721.8438,2721.355,2706.991,4715.2637,0.02240822
[2777.771 2837.658 2831.183 2814.041 2798.125 2787.257 2772.545 2829.271],2816.4185,2807.1047,2803.7239,2794.3098,2783.6748,2777.9875,2767.7803,2765.2039,999.0609,0.009280445
[2837.658 2831.183 2814.041 2798.125 2787.257 2772.545 2829.271 2859.542],2777.3525,2775.733,2773.3213,2764.702,2757.5576,2749.8,2744.6494,2738.7917,4078.436,0.019780982
[2831.183 2814.041 2798.125 2787.257 2772.545 2829.271 2859.542 2905.561],2821.0178,2810.623,2786.565,2778.6907,2749.0962,2741.7712,2732.033,2736.3567,6677.0938,0.019277414
[2814.041 2798.125 2787.257 2772.545 2829.271 2859.542 2905.561 2903.646],2825.445,2814.5825,2805.9055,2777.507,2767.2087,2758.0967,2757.5776,2760.1858,7174.51,0.022020549
[2798.125 2787.257 2772.545 2829.271 2859.542 2905.561 2903.646 2882.225],2803.9326,2796.9272,2757.0425,2743.6316,2727.4485,2713.6357,2711.8457,2701.0503,16449.668,0.035321023
[2787.257 2772.545 2829.271 2859.542 2905.561 2903.646 2882.225 2873.593],2761.091,2736.0874,2716.164,2702.0876,2694.159,2679.2837,2675.6921,2676.3955,27021.36,0.050985727
[2772.545 2829.271 2859.542 2905.561 2903.646 2882.225 2873.593 2869.049],2785.5125,2764.825,2741.92,2728.5454,2727.8955,2713.178,2705.9688,2713.863,20142.088,0.04513914
[2829.271 2859.542 2905.561 2903.646 2882.225 2873.593 2869.049 2876.4  ],2739.5618,2717.433,2710.1155,2700.9363,2685.3289,2687.0886,2684.8938,2677.3977,31824.992,0.06063378
[2859.542 2905.561 2903.646 2882.225 2873.593 2869.049 2876.4   2824.533],2831.137,2827.0166,2816.376,2829.5713,2833.0935,2831.0505,2826.2415,2820.6611,2872.439,0.016429543
[2905.561 2903.646 2882.225 2873.593 2869.049 2876.4   2824.533 2768.023],2862.3423,2871.41,2879.1282,2885.8208,2897.905,2892.772,2892.5037,2891.2947,2997.8477,0.014456787
[2903.646 2882.225 2873.593 2869.049 2876.4   2824.533 2768.023 2740.442],2902.9426,2910.4468,2917.2905,2918.8152,2926.5918,2921.1577,2925.5723,2917.9177,9169.766,0.026990544
[2882.225 2873.593 2869.049 2876.4   2824.533 2768.023 2740.442 2705.156],2920.0833,2932.2122,2936.711,2944.6782,2944.8848,2943.5178,2945.5315,2948.079,20058.234,0.04393794
[2873.593 2869.049 2876.4   2824.533 2768.023 2740.442 2705.156 2779.374],2891.585,2904.607,2912.4727,2913.735,2916.8125,2916.2407,2918.197,2934.6755,16674.367,0.039413728
[2869.049 2876.4   2824.533 2768.023 2740.442 2705.156 2779.374 2744.069],2879.4836,2881.7085,2871.2,2874.6333,2873.5527,2874.676,2884.1458,2891.1194,11592.134,0.0328803
[2876.4   2824.533 2768.023 2740.442 2705.156 2779.374 2744.069 2794.381],2875.255,2868.6365,2878.8325,2884.3767,2886.2087,2895.937,2907.229,2908.765,15126.781,0.039728373
[2824.533 2768.023 2740.442 2705.156 2779.374 2744.069 2794.381 2795.309],2869.2961,2869.2395,2870.7559,2871.3713,2888.323,2886.3403,2893.0562,2897.3582,13639.945,0.040534444
[2768.023 2740.442 2705.156 2779.374 2744.069 2794.381 2795.309 2785.872],2828.3533,2823.6145,2829.4067,2830.8096,2828.0754,2837.2961,2844.4626,2844.8389,5429.1514,0.025163105
[2740.442 2705.156 2779.374 2744.069 2794.381 2795.309 2785.872 2780.964],2753.002,2739.9321,2739.6824,2724.0078,2716.9827,2728.6636,2719.6519,2723.7803,2679.0332,0.016862836
[2705.156 2779.374 2744.069 2794.381 2795.309 2785.872 2780.964 2723.257],2753.5205,2767.693,2779.5427,2795.0713,2806.9536,2807.251,2808.5994,2824.3562,1913.9769,0.011769643
[2779.374 2744.069 2794.381 2795.309 2785.872 2780.964 2723.257 2705.191],2724.3071,2731.0186,2744.242,2752.3281,2752.5369,2755.6738,2756.6438,2768.2466,1800.6877,0.014314552
