date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma_5,ma_10,ma_20,ema_12,ema_26,macd,signal,wms_5,wms_10,rsv,kdj_k,kdj_d,kdj_j,rsi_5,rsi_14,psy_10,psy_20,obv,BB_Middle,BB_Upper,BB_Lower,ATR,CCI,Aroon_Oscillator,MFI,Coppock_Curve,Force_Index,KC_Middle,KC_Upper,KC_Lower,ROC(14),Williams_%R,Aroon_Up,Aroon_Down,DPO,KST,PP,S1,R1,S2,R2,R3,S3,Center_Line,Upper_Band,Lower_Band,EMA,Bull_Power,Bear_Power,Up_Candle,Total_Range,IMI,Qstick
2009-01-23,sh.000037,1866.73,1867.69,1840.78,1843.09,1865.8300,147120000,1540000000.0000,3,0.014195,1,-1.218760,0,1832.03,1821.4689999999998,,1827.5694948872424,1823.751183234649,3.8183116525933656,-0.13312412192482254,45.33601680084011,40.84351596373679,59.15648403626321,67.05400762404646,69.87239556216245,61.4172317478145,60.61927605756646,,50.0,,1048770000,,,,,,,,,-3345508800.0000014,,,,,,,,,,1850.5200000000002,1833.3500000000004,1860.2600000000004,1823.6100000000001,1877.4300000000003,1887.1700000000005,1806.4400000000003,,,,1826.4607579827516,41.22924201724845,14.31924201724837,0.0,23.6400000000001,,
2009-02-02,sh.000037,1851.07,1868.18,1841.91,1867.56,1843.0900,136150000,1377000000.0000,3,0.013137,1,1.327667,0,1846.0520000000001,1825.235,,1833.721880289205,1826.9962807728232,6.7255995163818625,1.2386206057365146,26.41035548686259,21.55301537248728,78.44698462751272,71.78647499471705,70.66747471106974,74.02447556201167,79.75048799117364,,50.0,,1184920000,,,,,,,,,3331590500.000004,,,,,,,,,,1859.2166666666665,1850.2533333333329,1876.5233333333329,1832.9466666666665,1885.4866666666665,1902.7933333333328,1823.983333333333,,,,1831.9406569183848,36.23934308161529,9.969343081615307,16.49000000000001,16.49000000000001,,
2009-02-03,sh.000037,1867.52,1890.92,1859.06,1890.76,1867.5600,190910000,1945000000.0000,3,0.018420,1,1.242260,0,1858.714,1836.855,,1842.4969756293274,1831.7195192340955,10.777456395231866,3.146387763635585,4.466501240694894,3.263697280252342,96.37731886594322,81.22656197845791,74.72096318812397,94.23775955912578,78.51031252814548,,60.0,,1375830000,,,,,,,,,4429112000.000009,,,,,,,,,,1880.2466666666667,1869.5733333333333,1901.4333333333334,1848.3866666666665,1912.1066666666668,1933.2933333333335,1837.7133333333331,,,,1839.7832359959334,51.13676400406666,19.276764004066536,23.24000000000001,23.24000000000001,,
2009-02-04,sh.000037,1895.14,1909.82,1892.17,1909.48,1890.7600,245810000,2508000000.0000,3,0.023717,1,0.990077,0,1875.3439999999998,1846.0790000000002,,1852.8020563017385,1837.4795548463846,15.322501455353859,5.58161050197924,0.49246813441471365,0.26315789473677864,99.73684210526322,87.99046885186196,79.56982014494854,104.8317662656888,82.32138692373475,64.7708729942888,60.0,,1621640000,,,,141.76999999999998,,-71.42857142857143,79.55675086271016,,4601563200.000007,,,,,0.23982506877330761,7.142857142857143,78.57142857142857,,,1903.823333333333,1897.8266666666661,1915.476666666666,1886.1733333333332,1921.473333333333,1933.1266666666659,1880.1766666666663,1836.0764285714286,2119.6164285714285,1552.5364285714286,1849.0761378631423,60.743862136857615,43.09386213685775,14.339999999999918,14.339999999999918,70.97377110460398,9.618571428571386
2009-02-05,sh.000037,1904.63,1910.66,1859.4,1866.67,1909.4800,264970000,2888000000.0000,3,0.025566,1,-2.241968,0,1875.512,1851.336,,1854.935586101471,1839.6418100429487,15.293776058522326,7.524043613287858,62.95077275329127,33.828052906797865,66.17194709320214,80.2655041301218,79.81613079341444,81.1642508035365,50.31832651205099,56.54212541175773,60.0,,1621640000,,,,142.61000000000013,,-78.57142857142857,71.90549838741615,0.05139157192007815,-11343365699.999985,,,,0.02419098201450698,30.846364210083422,7.142857142857143,85.71428571428571,44.090000000000146,,1878.91,1847.16,1898.42,1827.65,1930.17,1949.68,1795.9,1839.225714285714,2124.4457142857145,1554.0057142857138,1851.4219861480567,59.23801385194338,7.978013851943388,0.0,37.960000000000036,57.23881570366496,3.171428571428529
2009-02-06,sh.000037,1859.54,1915.56,1859.54,1915.15,1866.6700,312580000,3303000000.0000,3,0.030160,1,2.597137,0,1889.9240000000002,1860.977,,1864.19934208586,1845.2350092990266,18.964332786833438,9.812101447996975,0.5566870332652482,0.30383874314499354,99.66983411177335,86.99623682954638,82.3066766936556,96.37535710132792,72.85007610350081,61.27257821384178,60.0,,1934220000,,,,147.51,,-85.71428571428572,73.15351501339279,0.07938559595296171,15153878400.000006,,,,0.04658724520465607,0.277947257812931,7.142857142857143,92.85714285714286,85.25,,1896.75,1877.94,1933.96,1840.73,1952.77,1989.98,1821.92,1845.315,2140.335,1550.295,1859.9190546616492,55.640945338350775,-0.37905466164920654,55.61000000000013,55.61000000000013,62.42622199300893,6.195714285714254
2009-02-09,sh.000037,1934.45,1973.18,1906.49,1972.31,1915.1500,397690000,4282000000.0000,3,0.038372,1,2.984624,0,1910.8739999999998,1878.4629999999997,,1880.8317509957278,1854.6479715731728,26.183779422555062,13.086437042908592,0.7623554153523636,0.4785478547855437,99.49113879628,91.27243795644323,85.37507999265668,103.0671538840163,77.51221305878029,76.02316094222923,70.0,,2331910000,,,,205.1300000000001,,-92.85714285714286,80.0659413818345,0.12621302046002286,22731960399.999943,,,,0.11143607429447311,0.4241212889387792,7.142857142857143,100.0,197.75,,1950.6599999999999,1928.1399999999996,1994.8299999999997,1883.9699999999998,2017.35,2061.5199999999995,1861.4499999999996,1859.44,2269.7000000000003,1449.1799999999998,1874.904514040096,98.27548595990402,31.585485959903963,37.8599999999999,37.8599999999999,74.49461112729387,12.012857142857115
2009-02-10,sh.000037,1965.31,2022.76,1945.92,2022.34,1972.3100,346770000,3778000000.0000,3,0.033459,1,2.536615,0,1937.1899999999998,1897.952,,1902.602250842539,1867.0696033084932,35.532647534045736,17.57567914113602,0.25710088148878124,0.19043300838815364,99.76920540718756,94.15467619397877,88.35325822670447,105.75751212852737,80.29005524861878,76.47818228763231,70.0,,2678680000,,,,242.1400000000001,,-78.57142857142857,81.38780636629134,0.16303512872701986,17348903099.999992,,,,0.11286346327397578,0.1734533740811401,7.142857142857143,85.71428571428571,205.0999999999999,,1997.006666666667,1971.2533333333338,2048.0933333333337,1920.166666666667,2073.846666666667,2124.9333333333334,1894.4133333333339,1874.0900000000001,2358.3700000000003,1389.81,1894.56257883475,128.19742116525003,51.357421165250116,57.02999999999997,57.02999999999997,75.06407700632221,12.572857142857108
2009-02-11,sh.000037,1993.29,2072.91,1980.66,2025.47,2022.3400,394810000,4172000000.0000,3,0.038094,1,0.154771,0,1960.3880000000001,1917.866,,1921.5049814821484,1878.8029660263826,42.70201545576583,22.600946404061983,22.219099807971467,20.436824193339874,79.56317580666013,89.23395416603586,88.65025715029387,90.40134819751984,78.76593422945292,77.28833690516151,80.0,,3073490000,,,,292.28999999999996,,-85.71428571428572,82.68853167880977,0.18078730590061123,1235755300.0000432,,,,0.1165150763463978,16.230456053918996,7.142857142857143,92.85714285714286,211.37000000000012,,2026.3466666666666,1979.7833333333333,2072.033333333333,1934.0966666666668,2118.5966666666664,2164.283333333333,1887.5333333333335,1889.187857142857,2473.767857142857,1304.607857142857,1912.0169016567834,160.89309834321648,68.6430983432167,32.180000000000064,32.180000000000064,76.77022258774835,14.41499999999998
2009-02-12,sh.000037,2037.08,2076.28,1997.09,2074.29,2025.4700,393700000,4171000000.0000,3,0.037987,1,2.410308,0,2001.9119999999998,1938.7120000000002,1879.065,1945.0103689464333,1893.2834870614654,51.72688188496795,28.42613350024318,0.9181507797361974,0.8450106157113523,99.15091521952459,92.56528356091468,89.9654022328532,97.76504621703765,100.0,79.61387813752984,80.0,65.0,3467190000,1879.065,2046.5265124989055,1711.6034875010946,295.6600000000003,151.50676241302094,-92.85714285714286,83.6346989585242,0.205589774560315,19220433999.999973,1879.065,1982.2492857142859,1775.8807142857142,0.14050936362536692,0.6730704187242895,7.142857142857143,100.0,255.54999999999995,,2049.22,2022.1599999999994,2101.3499999999995,1970.0299999999995,2128.41,2180.54,1942.9699999999991,1907.4414285714286,2498.761428571429,1316.121428571428,1933.6533147692123,142.62668523078787,63.43668523078759,37.210000000000036,37.210000000000036,79.08846535732445,17.159285714285698
