真实,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
3487.497,3438.5951,3451.21005,3458.2324500000004,3463.95005,3455.8974,3459.1713,3465.71425,3463.42475
3370.652,3503.5800499999996,3499.3999000000003,3493.3203999999996,3489.70345,3493.96345,3486.39865,3480.8690500000002,3475.5359499999995
3309.259,3386.7179,3384.9573499999997,3395.1866500000006,3393.83385,3395.1902,3400.3768,3390.8440499999997,3396.9919
3262.05,3319.79555,3322.02035,3302.2865500000003,3286.76945,3288.0874000000003,3284.71605,3273.5691500000003,3279.9171
3129.85,3255.44715,3223.8867,3227.5962499999996,3213.53495,3176.45905,3178.2905,3190.8711000000003,3177.6168500000003
3154.125,3148.43925,3120.02415,3145.08,3116.4891500000003,3099.34585,3077.9182,3072.48905,3063.0557
3184.958,3150.12755,3150.64465,3114.6758,3121.92325,3113.6729000000005,3085.72195,3090.79415,3080.55145
3199.158,3184.14005,3216.52765,3216.15715,3204.1994999999997,3213.7255,3215.0216,3203.97275,3198.3221000000003
3268.558,3104.0849500000004,3048.29875,3046.95805,3012.5697,3009.4123,2989.03445,2985.8909000000003,2975.73735
3289.024,3236.6899000000003,3250.35275,3256.3887999999997,3252.65165,3240.7586,3249.574,3224.5305,3234.8226999999997
3329.573,3269.8820499999997,3252.65195,3259.2882,3248.47245,3249.9602999999997,3225.8897500000003,3221.00915,3216.0463
3292.067,3352.48485,3388.9100000000003,3392.8137500000003,3402.6594,3404.6679999999997,3398.84635,3402.8717,3396.033
3259.408,3260.82055,3276.72885,3262.49485,3231.97365,3246.04165,3233.3891,3219.5155,3207.3645500000002
3273.754,3244.94985,3257.6994999999997,3240.6775,3220.9086,3216.98695,3194.1609500000004,3186.9929,3199.8813499999997
3254.528,3250.4123,3253.3483499999998,3251.0675999999994,3205.5241,3217.3155,3188.1071,3193.00465,3199.3361999999997
3256.926,3235.9753,3261.07235,3259.6952,3259.41305,3261.3796,3269.7919500000007,3289.0116499999995,3293.7418500000003
3289.641,3224.6857500000006,3230.6865000000003,3251.88265,3238.4199,3230.9258,3236.9782999999998,3235.23475,3232.8775000000005
3271.668,3298.5842000000002,3272.3409,3260.8408,3275.7532,3286.30195,3271.6322,3269.5251500000004,3272.45505
3288.405,3225.05505,3221.5588,3229.3596500000003,3223.3078499999997,3210.38205,3202.78535,3205.3881499999998,3203.3481
3307.165,3277.4583999999995,3277.03525,3275.1752,3263.3864,3259.96075,3247.2558,3239.2826999999997,3232.9639000000006
3326.699,3302.9922499999993,3299.1659,3296.63685,3294.8677,3292.3996500000003,3274.5360499999997,3262.30015,3272.3773
3310.238,3326.722,3316.2964,3315.7308000000003,3307.1674000000003,3297.1624,3281.3019,3275.71595,3282.80625
3291.381,3325.62885,3329.0216,3327.9775,3324.6812,3324.57015,3332.29385,3335.69405,3333.96585
3291.112,3286.9297500000002,3272.57085,3246.9173,3240.4402,3238.02915,3221.2805499999995,3221.8752000000004,3223.52005
3269.882,3279.9703,3267.3817,3251.03175,3232.9329000000002,3231.23935,3218.51595,3220.32915,3224.2355
3279.251,3265.4341000000004,3239.47975,3225.473,3223.3291,3222.679,3220.76065,3216.78175,3214.022
3290.639,3262.08795,3254.34985,3255.66775,3254.25525,3256.54595,3258.59145,3258.88235,3259.89665
3280.952,3287.40015,3287.65385,3293.9429,3281.95355,3278.2308000000003,3275.3626,3280.9753499999997,3283.5408
